starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 14 15:08:33 2012	1331734113	9	4	12	3
Wed Mar 14 15:08:33 2012	1331734113	8	4	12	3
Wed Mar 14 15:08:33 2012	1331734113	8	4	12	4
Wed Mar 14 15:08:33 2012	1331734113	7	5	12	4
Wed Mar 14 15:08:33 2012	1331734113	7	5	12	5
Wed Mar 14 15:08:33 2012	1331734113	6	6	12	5
Wed Mar 14 15:08:33 2012	1331734113	6	7	12	6
Wed Mar 14 15:08:33 2012	1331734113	5	7	12	6
Wed Mar 14 15:08:33 2012	1331734113	5	7	12	7
Wed Mar 14 15:08:33 2012	1331734113	5	8	12	7
Wed Mar 14 15:08:33 2012	1331734113	4	8	12	8
Wed Mar 14 15:08:33 2012	1331734113	4	9	12	8
Wed Mar 14 15:08:33 2012	1331734113	0	27	27	27
Wed Mar 14 15:08:33 2012	1331734113	0	27	27	27
Wed Mar 14 15:08:33 2012	1331734113	0	28	28	27
Wed Mar 14 15:08:33 2012	1331734113	0	28	28	28
Wed Mar 14 15:08:33 2012	1331734113	0	28	28	28
Wed Mar 14 15:08:33 2012	1331734113	0	29	29	28
Wed Mar 14 15:08:33 2012	1331734113	0	29	29	29
Wed Mar 14 15:08:33 2012	1331734113	0	29	29	29
Wed Mar 14 15:08:33 2012	1331734113	0	30	30	29
Wed Mar 14 15:08:33 2012	1331734113	0	30	30	30
Wed Mar 14 15:08:33 2012	1331734113	0	30	30	30
Wed Mar 14 15:08:34 2012	1331734114	0	30	30	30
Wed Mar 14 15:08:34 2012	1331734114	0	30	30	30
Wed Mar 14 15:08:34 2012	1331734114	0	30	30	30
Wed Mar 14 15:08:34 2012	1331734114	0	30	30	30
Wed Mar 14 15:08:34 2012	1331734114	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	30
Wed Mar 14 15:08:34 2012	1331734114	0	31	31	31
Wed Mar 14 15:08:34 2012	1331734114	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:33 2012	1331734113	0	31	31	31
Wed Mar 14 15:08:35 2012	1331734115	0	31	32	31
Wed Mar 14 15:08:34 2012	1331734114	0	31	32	31
Wed Mar 14 15:08:33 2012	1331734113	0	32	32	32
Wed Mar 14 15:08:35 2012	1331734115	0	32	32	32
Wed Mar 14 15:08:33 2012	1331734113	0	32	32	31
Wed Mar 14 15:08:35 2012	1331734115	0	32	32	32
Wed Mar 14 15:08:33 2012	1331734113	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:33 2012	1331734113	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:33 2012	1331734113	0	32	32	32
Wed Mar 14 15:08:35 2012	1331734115	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:33 2012	1331734113	0	32	32	32
Wed Mar 14 15:08:35 2012	1331734115	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:34 2012	1331734114	0	32	32	32
Wed Mar 14 15:08:36 2012	1331734116	0	32	32	32
