starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 14 14:51:10 2012	1331733070	1	16	17	15
Wed Mar 14 14:51:10 2012	1331733070	1	16	17	16
Wed Mar 14 14:51:10 2012	1331733070	1	16	17	16
Wed Mar 14 14:51:10 2012	1331733070	1	17	17	16
Wed Mar 14 14:51:10 2012	1331733070	1	17	18	17
Wed Mar 14 14:51:10 2012	1331733070	1	17	18	17
Wed Mar 14 14:51:10 2012	1331733070	11	7	18	7
Wed Mar 14 14:51:10 2012	1331733070	1	17	18	17
Wed Mar 14 14:51:10 2012	1331733070	1	18	19	18
Wed Mar 14 14:51:10 2012	1331733070	1	18	19	18
Wed Mar 14 14:51:10 2012	1331733070	0	19	19	19
Wed Mar 14 14:51:10 2012	1331733070	1	19	19	19
Wed Mar 14 14:51:10 2012	1331733070	1	19	20	19
Wed Mar 14 14:51:10 2012	1331733070	1	19	20	19
Wed Mar 14 14:51:10 2012	1331733070	1	19	20	19
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:10 2012	1331733070	1	19	20	19
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:10 2012	1331733070	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:10 2012	1331733070	1	19	20	19
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:10 2012	1331733070	1	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	20	20
Wed Mar 14 14:51:12 2012	1331733072	0	20	21	20
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	20
Wed Mar 14 14:51:10 2012	1331733070	1	20	21	20
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	20
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	1	20	21	20
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	1	20	21	20
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	1	20	21	20
Wed Mar 14 14:51:10 2012	1331733070	1	21	21	20
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	1	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	1	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	21	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	22	21
Wed Mar 14 14:51:12 2012	1331733072	0	21	22	21
Wed Mar 14 14:51:10 2012	1331733070	1	21	22	21
Wed Mar 14 14:51:10 2012	1331733070	0	21	22	21
Wed Mar 14 14:51:12 2012	1331733072	0	22	22	21
Wed Mar 14 14:51:10 2012	1331733070	0	22	22	21
